詞彙,出現次數
有個,3
逐漸,3
能縮,3
點開始,3
主管,3
過重,3
並將,3
不可,3
平時,3
正在,3
綜合,3
睡不到,3
取得,3
填鴨式,3
贊同,3
課表中,3
不得不,3
抗拒,3
那邊,3
國文,3
非學科,3
項目,3
走向,3
生就,3
冗餘,3
一來,3
高效,3
溝通,3
作品,3
不彰,3
借鏡,3
專家,2
並無,2
課並,2
倘若,2
輔助,2
一再,2
身上,2
深入,2
探討,2
國民,2
十節,2
先不說,2
那學,2
要面,2
多數家長,2
不改,2
都給,2
不喜歡,2
中間,2
廢掉,2
課期間,2
短短,2
按照,2
仔細,2
你連,2
種種,2
現階段,2
空泛,2
時間點,2
簡略,2
三小時,2
理完,2
否定,2
別人爭,2
取來,2
大學生,2
眼睛,2
做作,2
越改越,2
人際關,2
課後要,2
少年,2
族群,2
同儕,2
心理疾病,2
年紀,2
人類,2
實為,2
文言文,2
今年,2
從國,2
加課,2
不及,2
不妥,2
離譜,2
來學校,2
9.10,2
權嗎,2
連最,2
台灣常,2
勞工島,2
前三名,2
許的,2
人口老化,2
已墊底,2
比台灣,2
小約,2
衝上,2
國立,2
我購,2
勳轉,2
這本書,2
李光耀,2
首任,2
總理,2
兩項,2
兼容,2
當人們,2
辦公時,2
反觀,2
連學生,2
近況,2
排程,2
追劇,2
晚開,2
選擇權,2
意義在,2
可能性,2
完書,2
感覺,2
誇張,2
改不改,2
不僅僅,2
一根,2
稻草,2
只上,2
講課,2
變多,2
家境,2
工讀,2
創建,2
人覺,2
理論,2
相反,2
徒具形式,2
放學能,2
累死,2
金錢,2
事件,2
過來,2
從來,2
意識,2
多一點,2
全都,2
帶給,2
課對,2
拒絕,2
美感,2
自理能力,2
使學生,2
著延,2
潮流,2
安全,2
將會,2
延長,2
歡迎,2
謝謝,2
堂數,2
要教,2
方針,2
承受,2
想想看,2
比學校,2
施行,2
人均,2
必然,2
立意,2
點還,2
損害,2
上過,2
點後,2
理組,2
實驗班,2
往返,2
單程,2
我長,2
失控,2
挫折,2
耐受,2
反映,2
深刻,2
應兼顧,2
並檢討,2
延時,2
族學生,2
中式,2
不願,2
有動力,2
課無法,2
可笑,2
住家,2
捷運,2
發達,2
八堂,2
外加,2
營養,2
中午,2
用餐,2
糧食,2
補足,2
節奏,2
不利,2
薪資,2
先進,2
評估,2
分流,2
高二,2
一場,2
本科,2
借課,2
形成,2
每週,2
1.5,2
再加,2
本該,2
家事,2
運輸,2
錯過,2
搭車,2
擁擠,2
而學生,2
發育期,2
太過,2
許在,2
但題,2
選擇題,2
閉性,2
